config,level,accesses,misses,evictions,traffic-up
L1024-S16,1,88765316,2782255,2782191,2849029120
L1024-S16,2,2782255,2235784,2227592,2289442816
L1024-S2,1,88765316,4137369,4137305,4236665856
L1024-S2,2,4137369,2236345,2228153,2290017280
L1024-S32,1,88765316,2782265,2782201,2849039360
L1024-S32,2,2782265,2235814,2227622,2289473536
L1024-S4,1,88765316,2994928,2994864,3066806272
L1024-S4,2,2994928,2236081,2227889,2289746944
L1024-S8,1,88765316,2782247,2782183,2849020928
L1024-S8,2,2782247,2235872,2227680,2289532928
L128-S16,1,110543486,21923447,21922935,2806201216
L128-S16,2,21923447,17739258,17673722,2270625024
L128-S2,1,110543486,21522534,21522022,2754884352
L128-S2,2,21522534,17740162,17674626,2270740736
L128-S32,1,110543486,21923483,21922971,2806205824
L128-S32,2,21923483,17739229,17673693,2270621312
L128-S4,1,110543486,21492901,21492389,2751091328
L128-S4,2,21492901,17739534,17673998,2270660352
L128-S8,1,110543486,21851580,21851068,2797002240
L128-S8,2,21851580,17739347,17673811,2270636416
L2048-S16,1,87209226,1480528,1480496,3032121344
L2048-S16,2,1480528,1128797,1124701,2311776256
L2048-S2,1,87209226,4810439,4810407,9851779072
L2048-S2,2,4810439,1129064,1124968,2312323072
L2048-S32,1,87209226,1414549,1414517,2896996352
L2048-S32,2,1414549,1128798,1124702,2311778304
L2048-S4,1,87209226,4052095,4052063,8298690560
L2048-S4,2,4052095,1128892,1124796,2311970816
L2048-S8,1,87209226,1684961,1684929,3450800128
L2048-S8,2,1684961,1128764,1124668,2311708672
L256-S16,1,98098813,10985625,10985369,2812320000
L256-S16,2,10985625,8879989,8847221,2273277184
L256-S2,1,98098813,10977715,10977459,2810295040
L256-S2,2,10977715,8880799,8848031,2273484544
L256-S32,1,98098813,10985636,10985380,2812322816
L256-S32,2,10985636,8879960,8847192,2273269760
L256-S4,1,98098813,10774265,10774009,2758211840
L256-S4,2,10774265,8880259,8847491,2273346304
L256-S8,1,98098813,10949702,10949446,2803123712
L256-S8,2,10949702,8880087,8847319,2273302272
L512-S16,1,91876476,5516700,5516572,2824550400
L512-S16,2,5516700,4450409,4434025,2278609408
L512-S2,1,91876476,6140879,6140751,3144130048
L512-S2,2,6140879,4451136,4434752,2278981632
L512-S32,1,91876476,5516703,5516575,2824551936
L512-S32,2,5516703,4450406,4434022,2278607872
L512-S4,1,91876476,5434917,5434789,2782677504
L512-S4,2,5434917,4450728,4434344,2278772736
L512-S8,1,91876476,5498740,5498612,2815354880
L512-S8,2,5498740,4450550,4434166,2278681600
L64-S16,1,135432846,43793824,43792800,2802804736
L64-S16,2,43793824,35457837,35326765,2269301568
L64-S2,1,135432846,42960581,42959557,2749477184
L64-S2,2,42960581,35458900,35327828,2269369600
L64-S32,1,135432846,43793881,43792857,2802808384
L64-S32,2,43793881,35457811,35326739,2269299904
L64-S4,1,135432846,42923011,42921987,2747072704
L64-S4,2,42923011,35458131,35327059,2269320384
L64-S8,1,135432846,43650014,43648990,2793600896
L64-S8,2,43650014,35457937,35326865,2269307968
