config,level,accesses,misses,evictions,traffic-up
L1024-S16,1,14473559,62438,62374,63936512
L1024-S16,2,62438,21133,12941,21640192
L1024-S2,1,14473559,168602,168538,172648448
L1024-S2,2,168602,21447,13255,21961728
L1024-S32,1,14473559,62607,62543,64109568
L1024-S32,2,62607,21340,13148,21852160
L1024-S4,1,14473559,69022,68958,70678528
L1024-S4,2,69022,21092,12900,21598208
L1024-S8,1,14473559,62391,62327,63888384
L1024-S8,2,62391,21269,13077,21779456
L128-S16,1,14581352,409921,409409,52469888
L128-S16,2,409921,168495,102959,21567360
L128-S2,1,14581352,420405,419893,53811840
L128-S2,2,420405,170619,105083,21839232
L128-S32,1,14581352,409080,408568,52362240
L128-S32,2,409080,170177,104641,21782656
L128-S4,1,14581352,419382,418870,53680896
L128-S4,2,419382,168265,102729,21537920
L128-S8,1,14581352,410426,409914,52534528
L128-S8,2,410426,169588,104052,21707264
L2048-S16,1,14467031,34559,34527,70776832
L2048-S16,2,34559,10598,6502,21704704
L2048-S2,1,14467031,346563,346531,709761024
L2048-S2,2,346563,10774,6678,22065152
L2048-S32,1,14467031,34912,34880,71499776
L2048-S32,2,34912,10698,6602,21909504
L2048-S4,1,14467031,66752,66720,136708096
L2048-S4,2,66752,10571,6475,21649408
L2048-S8,1,14467031,34994,34962,71667712
L2048-S8,2,34994,10666,6570,21843968
L256-S16,1,14512744,210959,210703,54005504
L256-S16,2,210959,84296,51528,21579776
L256-S2,1,14512744,219018,218762,56068608
L256-S2,2,219018,85385,52617,21858560
L256-S32,1,14512744,211897,211641,54245632
L256-S32,2,211897,85134,52366,21794304
L256-S4,1,14512744,215570,215314,55185920
L256-S4,2,215570,84172,51404,21548032
L256-S8,1,14512744,210980,210724,54010880
L256-S8,2,210980,84843,52075,21719808
L512-S16,1,14486632,111789,111661,57235968
L512-S16,2,111789,42184,25800,21598208
L512-S2,1,14486632,127536,127408,65298432
L512-S2,2,127536,42755,26371,21890560
L512-S32,1,14486632,112667,112539,57685504
L512-S32,2,112667,42600,26216,21811200
L512-S4,1,14486632,114024,113896,58380288
L512-S4,2,114024,42116,25732,21563392
L512-S8,1,14486632,111261,111133,56965632
L512-S8,2,111261,42458,26074,21738496
L64-S16,1,14694001,802741,801717,51375424
L64-S16,2,802741,336851,205779,21558464
L64-S2,1,14694001,824624,823600,52775936
L64-S2,2,824624,341072,210000,21828608
L64-S32,1,14694001,800062,799038,51203968
L64-S32,2,800062,340226,209154,21774464
L64-S4,1,14694001,824080,823056,52741120
L64-S4,2,824080,336448,205376,21532672
L64-S8,1,14694001,805803,804779,51571392
L64-S8,2,805803,339071,207999,21700544

