config,level,accesses,misses,evictions,traffic-up
L1024-S16,1,67174779,16654,16590,17053696
L1024-S16,2,16654,724,0,741376
L1024-S2,1,67174779,163122,163058,167036928
L1024-S2,2,163122,724,0,741376
L1024-S32,1,67174779,16465,16401,16860160
L1024-S32,2,16465,724,0,741376
L1024-S4,1,67174779,27743,27679,28408832
L1024-S4,2,27743,724,0,741376
L1024-S8,1,67174779,18226,18162,18663424
L1024-S8,2,18226,724,0,741376
L128-S16,1,69664528,63715,63203,8155520
L128-S16,2,63715,5660,0,724480
L128-S2,1,69664528,109349,108837,13996672
L128-S2,2,109349,5660,0,724480
L128-S32,1,69664528,64144,63632,8210432
L128-S32,2,64144,5660,0,724480
L128-S4,1,69664528,67774,67262,8675072
L128-S4,2,67774,5660,0,724480
L128-S8,1,69664528,64259,63747,8225152
L128-S8,2,64259,5660,0,724480
L2048-S16,1,67003804,21656,21624,44351488
L2048-S16,2,21656,367,0,751616
L2048-S2,1,67003804,365800,365768,749158400
L2048-S2,2,365800,367,0,751616
L2048-S32,1,67003804,21456,21424,43941888
L2048-S32,2,21456,367,0,751616
L2048-S4,1,67003804,140749,140717,288253952
L2048-S4,2,140749,367,0,751616
L2048-S8,1,67003804,45748,45716,93691904
L2048-S8,2,45748,367,0,751616
L256-S16,1,68238040,36330,36074,9300480
L256-S16,2,36330,2844,0,728064
L256-S2,1,68238040,80834,80578,20693504
L256-S2,2,80834,2844,0,728064
L256-S32,1,68238040,36533,36277,9352448
L256-S32,2,36533,2844,0,728064
L256-S4,1,68238040,39469,39213,10104064
L256-S4,2,39469,2844,0,728064
L256-S8,1,68238040,37055,36799,9486080
L256-S8,2,37055,2844,0,728064
L512-S16,1,67512986,21911,21783,11218432
L512-S16,2,21911,1435,0,734720
L512-S2,1,67512986,97646,97518,49994752
L512-S2,2,97646,1435,0,734720
L512-S32,1,67512986,21963,21835,11245056
L512-S32,2,21963,1435,0,734720
L512-S4,1,67512986,25929,25801,13275648
L512-S4,2,25929,1435,0,734720
L512-S8,1,67512986,22929,22801,11739648
L512-S8,2,22929,1435,0,734720
L64-S16,1,72582049,110133,109109,7048512
L64-S16,2,110133,11285,0,722240
L64-S2,1,72582049,164635,163611,10536640
L64-S2,2,164635,11285,0,722240
L64-S32,1,72582049,109793,108769,7026752
L64-S32,2,109793,11285,0,722240
L64-S4,1,72582049,116225,115201,7438400
L64-S4,2,116225,11285,0,722240
L64-S8,1,72582049,111381,110357,7128384
L64-S8,2,111381,11285,0,722240
